nome,ano,genero,investimento,bilheteria
O Poderoso Chefao,1972,policial,11.04821649,5623234.602
O Magico de Oz,1939,fantasia,14.92767805,5714951.757
Cidadao Kane,1941,misterio,27.11459654,9524339.124
Os Bons Companheiros,,policial,,6331568.779
E.T.,1982,sci-fi,19.14224634,6409617.277
De Volta Para o Futuro,1985,sci-fi,9.977310643,4956557.317
Chinatown ,1974,policial,14.25746091,4654565.066
Tubarao ,1975,suspense,8.871800033,3950017.325
Star Wars: Episodio V - O Imperio Contra-Ataca,1980,sci-fi,29.11280008,6850971.551
Alien ,1979,suspense,3.695240977,5157865.85
Forrest Gump,1994,,7.660964735,6124642.193
Toy Story,1995,aventura,13.16296312,7179619.256
Matrix ,1999,sci-fi,23.09992377,6412548.105
A NoviÁa Rebelde,1965,,3.807287872,3940457.954
Titanic ,1997,romance,36.96980123,6883304.691
Jurassic Park,1993,aventura,26.87846314,8357738.217
O Rei Leao,1994,fantasia,17.46290712,6051705.582
Avatar ,2009,fantasia,4.401585311,6537048.248
Gladiador ,2000,acao,17.25084487,6580321.145
Apocalypse Now,1979,,4.083091088,6253514.417
O Senhor dos Aneis: A Sociedade do Anel,2001,fantasia,23.11462484,8912699.881
Duro de Matar,1988,acao,26.6014938,4899581.698
A Bela e a Fera,1991,romance,3.452739061,4203260.002
The Lord of the Rings: The Return of the King,2003,fantasia,5.958254691,6119911.722
Quem Quer Ser um Milion·rio,2008,comedia,9.325240727,
Coracao Selvagem,1995,romance,47.28246139,10867385.4
O Labirinto do Fauno,2006,suspense,4.62758475,6853880.505
Os Sete Samurais,1954,acao,35.98912182,8651589.668
Rocky: O Lutador,1976,acao,14.44448624,5980356.545
Wall-E,2008,aventura,16.67544053,7447149.06
Os CaÁa-Fantasma,1984,fantasia,38.18724016,8017317.308
"Amor, Sublime Amor",1961,romance,5.599493131,8573321.37
Os CaÁadores da Arca Perdida,,aventura,3.572837328,4570979.766
Doutor Jivago,1965,romance,43.57421036,8065119.319
Up ,2009,aventura,23.64318411,6042044.781
Amnesia,2000,drama,9.311471033,6130830.641
Seven,1995,acao,8.180604086,9833692.03
Inception,2010,sci-fi,29.64880244,7980684.744
Amadeus,1984,fantasia,42.42347077,8647958.298
Sindicato dos Ladroes,1954,policial,11.52252745,
12 Homens e uma sentenca,1957,drama,23.5767292,4792348.702
A ponte do rio kwai,1957,drama,28.54388229,6064585.462
Brokeback Mountain,2005,misterio,7.819135558,5725488.168
Todos os Homens do Presidente,1976,comedia,22.0413587,4939695.913
O Jovem Frankenstein,1974,suspense,11.03688918,5279266.755
Quase Famosos ,2000,comedia,3.639552171,5286126.572
Um Corpo que Cai ,1958,suspense,15.8071866,5509707.624
Monty Python e o Calice Sagrado,1975,fantasia,34.16363493,9435988.366
Banze no Oeste ,1974,policial,7.182393315,5761716.616
Feitico do Tempo ,1993,fantasia,3.541599584,5800302.196
Intriga Internacional,1959,policial,8.444157319,5085421.399
O Fabuloso Destino de Amelie Poulain,2001,fantasia,4.055122935,6168414.335
Thelma & Louise,1991,drama,46.49047978,8016174.668
Crep˙sculo dos Deuses,1950,acao,46.0554171,9503718.309
O Cavaleiro das Trevas,2008,acao,5.751063202,5992914.093
Brilho Eterno de Uma Mente Sem LembranÁas,2004,drama,41.50393584,9600634.768
Taxi Driver,1976,policial,4.87805872,5851257.603
Butch Cassidy,1969,comedia,7.538458505,5750255.419
Genio Indomavel,1997,misterio,49.0632668,10945483.93
A Malvada,1950,fantasia,5.821575136,5527762.871
O Grande Lebowski ,1997,acao,,5709798.411
Janela Indiscreta,1954,suspense,7.978730132,6259504.468
Os Suspeitos,1954,comedia,3.545169445,6297811.863
Quanto Mais Quente Melhor,1959,comedia,6.788251058,5615399.158
O Resgate do Soldado Ryan,1997,drama,8.257084185,6081295.08
Psicose,1960,suspense,6.845515942,5205746.814
O Clube da Luta,1999,,7.595271225,4725049.26
O Iluminado,1980,misterio,47.57217745,10357523.51
Harry e Sally - Feitos um Para o Outro,1989,romance,40.36367729,13041376.69
Dr. Fantastico,1964,acao,7.076270451,6488501.422
Curtindo a Vida Adoidado,1986,comedia,35.65493395,7510999.212
Laranja Mecanica,1971,comedia,28.94044786,9523002.633
Beleza Americana,1999,comedia,30.68325163,10259330.67
Fargo,1996,suspense,4.256262376,4595209.625
A Princesa Prometida,1987,romance,6.675647168,7024717.144
Um Estranho no Ninho,1975,comedia,13.48460181,6770254.013
Blade Runner - O CaÁador de Androides,1987,sci-fi,13.49823332,5197166.295
A Primeira Noite de um Homem,1967,romance,3.917706803,4801324.37
Clube dos Cinco,1985,comedia,15.88178439,
Cantando na Chuva,1985,romance,10.77173868,7813367.391
Lawrence da Arabia,1962,suspense,4.487211463,6705911.601
O Silencio dos Inocentes,1991,drama,8.128287508,5408901.417
A Felicidade nao se Compra,,romance,9.019935933,5977150.32
Os Bons Companheiros,1990,comedia,4.280845734,6467603.377
"Noivo Neurotico, Noiva Nervosa",1977,romance,45.9441738,10922350.28
O Sol e Para Todos,1962,drama,5.377873042,3639361.119
Ö E o Vento Levou,1939,misterio,26.71637426,7984598.064
Forrest Gump,1994,suspense,3.750584747,6238736.801
Guerra nas Estrelas,1977,sci-fi,11.55269928,6632645.888
A Lista de Schindler,1993,misterio,6.284822565,5336087.16
2001: Uma Odisseia no Espaco,1968,sci-fi,7.928190029,5123843.672
Casablanca,1942,policial,5.154986835,7461658.117
Pulp Fiction,1994,drama,13.26904919,4372980.297
Um Sonho de Liberdade,1994,drama,3.79863601,4617431.832
Bonnie e Clyde,1967,acao,5.500988232,4906499.13
Caes de Aluguel,1992,policial,11.85490351,6154695.786
Apertem os CintosÖ O Piloto Sumiu,1980,comedia,19.02392858,4768411.078
O Franco Atirador,1978,,15.12601504,5860633.339
Contatos Imediatos do Terceiro Grau,1976,acao,10.61543562,5381466.562
Mary Poppins,1964,suspense,6.5077028,5733674.808
Radio Days,1987,comedia,3.537680196,4961078.838
Frances,1982,romance,5.640228991,4917627.966
Sixth Sense,1999,suspense,22.94337074,5525843.458
Thomas Crown Affair,1968,acao,11.34578545,7058067.044
Heaven Can Wait,1978,acao,20.88758191,7062574.892
Masque of the Red Death,1964,suspense,9.433418179,7307692.177
Airplane!,1980,comedia,25.75555183,8683607.644
American Werewolf in Paris,1997,misterio,39.62550073,10569587.25
National Lampoon's Vacation,1983,policial,4.454680378,4139861.183
Big,1988,policial,7.602352151,3902564.753
Christmas Story,1983,comedia,,4737359.243
Hamlet,1965,suspense,11.40297757,4992293.719
Minus Man,1999,romance,40.2830216,9925365.104
Soldier's Story,1984,comedia,3.693424172,5310224.585
Yellow Submarine,1968,misterio,5.019412168,6318854.528
American Beauty,1999,,27.50065673,7257999.289
Stop Making Sense,1984,drama,5.091566863,5275019.322
"Hard Day's Night, A",1984,drama,17.43079654,7825962.508
"Buddy Holly Story, The",1978,comedia,19.89233553,8379892.281
Deliverance,1972,suspense,3.779060568,3325273.075
Excalibur,1981,fantasia,9.356999632,6639798.027
Mumford,1999,acao,39.39016669,8450312.39
Three Kings,1999,fantasia,21.64906126,8992750.138
Psycho II,1983,suspense,8.943238044,5898571.218
Risky Business,1983,acao,48.98893247,10399539.29
Body Heat,1981,romance,15.91525784,
Ferris Bueller's Day Off,1986,comedia,11.10272227,5285034.533
"Year of Living Dangerously, The",1982,suspense,6.85738139,5205139.949
Children of Paradise (Les enfants du paradis),1945,fantasia,9.459316498,8287498.633
High Plains Drifter,1973,acao,40.11898717,9629861.43
Hang 'Em High,1968,suspense,25.28314611,8221484.85
"Conformist, The (Conformista, Il)",1970,drama,17.65529733,6267891.536
Hairspray,1988,policial,8.807091227,6389412.948
Reds,1981,acao,31.33862717,8041163.263
Days of Heaven,1978,fantasia,12.62544552,5025989.463
"Dirty Dozen, The ",1967,acao,14.40809327,5752670.865
Goldfinger,1964,comedia,4.021196134,6964471.903
From Russia with Love,,romance,47.94825187,10423874.58
Dr. No,1962,acao,11.74442917,6360703.667
"Fistful of Dollars, A (Per un pugno di dollari)",1964,drama,,6584885.665
"Straight Story, The",1999,romance,16.3575612,5472215.611
Time Bandits,1981,acao,5.939314383,5322470.5
Fitzcarraldo,1982,policial,17.90519001,7675246.28
Crimes and Misdemeanors ,1989,policial,6.174205872,5080496.239
Who Framed Roger Rabbit?,1988,policial,40.87722776,9387979.014
Thunderball,1965,fantasia,10.82700746,6650737.062
Being John Malkovich,1999,suspense,11.41833706,7826371.034
"Insider, The",1999,misterio,16.63510197,
American Movie,1999,comedia,8.999939239,8635970.629
"They Shoot Horses, Don't They?",1969,acao,35.20304739,7171000.621
Re-Animator,1985,fantasia,10.19814489,5893310.862
Drugstore Cowboy,1989,policial,22.6006925,5099937.493
"General, The",1926,acao,30.85137115,6822190.295
Little Big Man,1970,fantasia,3.555097639,5530482.043
Trading Places,1983,sci-fi,3.891042509,3813122.389
"Commitments, The",1991,sci-fi,3.973652259,3391856.699
Holiday Inn,1942,comedia,3.651359331,4652588.495
"Longest Day, The",1962,sci-fi,6.159444682,5538327.655
Tora! Tora! Tora!,1970,fantasia,12.0106988,4405595.795
Women on the Verge of a Nervous Breakdown (Mujeres al borde de un ataque de nervios),1988,comedia,49.59090828,9748952.597
"Verdict, The",1982,sci-fi,16.10151156,5705438.832
Stand and Deliver,1988,acao,10.62608147,4884247.772
Moonstruck,,fantasia,26.2731213,7120023.267
Sleepy Hollow ,1999,suspense,5.124998581,3143884.263
Harvey ,1959,drama,3.732310561,4792022.873
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) ,1948,policial,4.738801016,6790374.187
McCabe & Mrs. Miller ,1971,comedia,15.13106251,6515379.526
"Grapes of Wrath, The ",1940,sci-fi,9.498056938,5500344.88
"Natural, The ",1984,romance,4.11986865,5458617.001
Sweet and Lowdown ,1999,romance,4.933398578,4050219.489
Bonfire of the Vanities ,1990,comedia,,8417278.748
Grand Illusion (La grande illusion) ,1937,suspense,11.6309873,7279341.61
Cradle Will Rock ,1999,misterio,41.49747235,8420140.415
"Green Mile, The ",1999,misterio,35.65192592,7307525.522
"Last Picture Show, The ",1971,suspense,6.088571204,5360476.057
Topsy-Turvy ,1999,comedia,4.017117472,6315465.641
Easy Rider ,1969,drama,42.00365405,10393030.34
The Falcon and the Snowman ,1985,misterio,10.00243109,7643770.741
"Talented Mr. Ripley, The ",1999,romance,17.40141284,6379474.82
Angela's Ashes ,1999,romance,28.81721367,8846998.145
Stalag 17 ,1953,acao,13.15128217,6633990.912
Papillon ,1973,acao,6.921549268,6628914.209
Five Easy Pieces ,1970,comedia,9.075673941,5335140.546
Dead Calm ,1989,drama,6.944760219,4493236.939
Fast Times at Ridgemont High ,1982,acao,35.79157293,8317007.675
Poison ,1991,drama,10.5591285,
"Zed & Two Noughts, A ",1985,policial,12.74353681,7536670.774
Woman in the Dunes (Suna no onna) ,1964,drama,7.68118657,6385739.66
Malcolm X ,1992,acao,7.756680528,5325469.806
Alive ,1993,suspense,38.9386838,10360004.5
Agnes of God ,1985,fantasia,8.005703158,5334175.69
Wayne's World ,1992,fantasia,30.32847884,8581742.372
"League of Their Own, A ",1992,,17.2722955,7652316.566
Twin Peaks: Fire Walk with Me ,1992,romance,4.991055745,5256823.562
Buffy the Vampire Slayer ,1992,acao,11.64586472,5759504.105
Hard-Boiled (Lat sau san taam) ,1992,drama,5.392101137,4931015.736
Man Bites Dog (C'est arrivé près de chez vous) ,1992,comedia,12.50641094,4675615.782
Scream 3 ,2000,suspense,48.47786486,10388959.2
"Beach, The ",2000,romance,25.13523362,10629453.85
"Whole Nine Yards, The ",2000,sci-fi,4.190654183,5584967.079
City Lights ,1931,sci-fi,5.795658778,5499972.544
"Flamingo Kid, The ",1984,fantasia,21.76246448,8730101.837
Wonder Boys ,2000,fantasia,46.93255638,8006438.74
Drowning Mona ,2000,acao,34.73973762,10168432.89
Beyond the Mat ,1999,sci-fi,41.77299493,8541829.489
The Year My Voice Broke ,1987,suspense,22.55465059,7259643.626
Birdy ,1984,misterio,4.041585754,5115063.075
"Raisin in the Sun, A ",1961,acao,4.43628385,3778840.444
Mission to Mars ,2000,comedia,5.184968631,6018868.386
Defending Your Life ,1991,romance,38.08663615,7176348.247
Hoosiers (a.k.a. Best Shot) ,1986,acao,40.22814898,6937553.844
Bull Durham ,1988,comedia,,4867295.361
Dog Day Afternoon ,1975,romance,27.53898756,8668013.533
American Graffiti ,1973,policial,7.040948305,6440206.47
"Searchers, The ",1956,policial,33.52772668,7069725.957
JFK ,1991,acao,16.37298733,6975057.72
"Muppet Movie, The ",1979,drama,43.04806609,6821185.994
Erin Brockovich ,2000,drama,4.863707278,5129127.328
Thelma & Louise ,1991,romance,19.65456248,6290554.349
...And Justice for All ,1979,acao,4.412461807,5583408.943
Animal House ,1978,fantasia,6.798072667,6133826.219
She's Gotta Have It ,1986,fantasia,4.704641308,4985196.82
Do the Right Thing ,1989,acao,19.78869943,6304049.636
Jungle Fever ,,fantasia,19.29928398,8560143.062
"Champ, The ",1979,suspense,5.608492512,5494541.382
Double Indemnity ,1944,suspense,9.985858147,4878161.237
Red Dawn ,1984,misterio,4.195180982,5223009.754
Guess Who's Coming to Dinner ,1987,misterio,15.08241789,7380797.498
Lord of the Flies ,1967,suspense,36.55838212,8591223.503
Modern Times ,1963,sci-fi,41.82794925,10668637.89
"Hustler, The ",1961,comedia,28.10658671,7497355.787
Inherit the Wind ,1960,misterio,14.94910897,7228458.913
Close Encounters of the Third Kind ,1977,comedia,11.58656523,7811531.63
"Bamba, La ",1987,romance,26.77567648,7024576.36
Ladyhawke ,1985,romance,7.580840324,4960584.106
High Fidelity ,2000,misterio,24.40066795,9367189.432
"Skulls, The ",2000,acao,20.80078209,
Misery ,1990,suspense,47.31741915,6963367.765
Solaris (Solyaris) ,1972,fantasia,10.57319606,6128809.675
Network ,1976,sci-fi,7.289598224,5734636.443
"Outlaw Josey Wales, The ",2000,policial,14.90491519,4552876.335
Ready to Rumble ,1978,aventura,26.67405498,5937053.988
Force 10 from Navarone ,1989,sci-fi,36.04890342,10824419.64
Mystery Train ,1991,misterio,5.29480031,5212965.063
Parenthood ,1981,romance,7.333475779,5396414.085
"Prince of Tides, The ",1999,fantasia,5.196962243,5118610.505
"Postman Always Rings Twice, The ",1982,acao,47.02237759,9609837.298
East is East ,1992,misterio,4.693158976,5026104.063
Diner ,1972,suspense,7.484548696,5937853.438
Shakes the Clown ,1962,comedia,13.82761268,8073643.616
Cabaret ,1987,drama,6.50905351,3790650.866
What Ever Happened to Baby Jane? ,1958,drama,42.76331079,7187851.272
Prick Up Your Ears ,1955,drama,35.33735592,8576876.33
Auntie Mame ,1958,comedia,9.355046441,6094561.312
Guys and Dolls ,1955,fantasia,10.15953414,6982715.896
The Hunger ,1983,suspense,31.94638909,7799925.445
Marathon Man ,1976,policial,5.393555768,6920213.863
Caddyshack ,1980,policial,25.85087972,9296898
"Flintstones in Viva Rock Vegas, The ",2000,fantasia,38.73510954,8444937.498
Where the Heart Is ,2000,,,3938728.874
"Big Kahuna, The ",1972,aventura,15.3773008,6347850.888
"King of Marvin Gardens, The ",1974,aventura,14.95381634,6426467.984
"Lords of Flatbush, The ",1983,aventura,5.480093823,7221120.381
Mr. Mom ,1949,romance,4.902941032,5342775.853
On the Town ,1985,aventura,5.445128046,3700461.65
Pee-wee's Big Adventure ,1998,aventura,5.613324909,5890534.561
Regret to Inform ,1992,aventura,25.57010954,7338487.888
Honeymoon in Vegas ,2000,aventura,24.36351245,10633732.71
Small Time Crooks ,1969,aventura,8.197572366,5391779.969
On Her Majesty's Secret Service ,1977,aventura,48.35873366,9433329.768
"Spy Who Loved Me, The ",1974,aventura,40.92660067,9515461.53
"Man with the Golden Gun, The ",1973,romance,22.08393375,8569768.312
Blow-Out (La grande bouffe) ,1968,acao,16.73437251,6721194.951
Romeo and Juliet ,1974,romance,6.291891673,5105953.648
Blazing Saddles ,1954,suspense,4.553735213,5602560.5
White Christmas ,1977,aventura,40.91801672,11938822.61
Eraserhead ,1955,suspense,3.612877043,4692409.662
"Man with the Golden Arm, The ",1981,misterio,9.508021352,7149903.282
"Decline of Western Civilization, The ",1988,policial,14.30673323,5559986.471
"Decline of Western Civilization Part II: The Metal Years, The ",1965,policial,6.590840381,4371978.98
For a Few Dollars More (Per qualche dollaro in più) ,1985,misterio,4.083066255,5934492.029
Blood Simple ,1985,fantasia,45.93842904,7347078.383
Prizzi's Honor ,1987,aventura,4.173773811,6110380.253
"Running Man, The ",1984,aventura,8.63943796,4303999.383
"Brother from Another Planet, The ",,sci-fi,16.45741652,6148242.042
Mad Max ,1981,acao,12.10801446,
"Road Warrior, The (Mad Max 2) ",1985,acao,22.29312376,7681383.788
Mad Max Beyond Thunderdome ,1987,acao,10.58330975,6494945.555
Angel Heart ,1984,romance,9.238931323,5477088.4
Firestarter ,1978,aventura,4.758349512,5253122.726
Coming Home ,1971,romance,6.815679226,7607806.782
Shaft ,1974,aventura,5.877179025,5643349.516
"Conversation, The ",1973,drama,5.983247444,6196492.952
"Paper Chase, The ",1981,drama,35.38358768,8996458
Prince of the City ,1973,policial,3.943940497,4925446.286
Serpico ,1986,policial,,8435603.923
Big Trouble in Little China ,1973,drama,33.72844697,7216710.032
Badlands ,1986,aventura,34.60505451,9275890.394
Battleship Potemkin ,1925,sci-fi,6.762428904,6370117.833
M*A*S*H (a.k.a. MASH) ,1970,sci-fi,4.963530443,6920826.167
